epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1241.12,0.61139,0.92048,0.4218,0.86951,0.8037,0.73506,0.83198,0.59986,0.82657,0.7235,0.82607,0.54631,1.02881,1.80177,0.72558,1.17138,0.0003755,0.0003755,0.0003755
55,1286.41,0.61612,0.92402,0.40195,0.87073,0.79517,0.75225,0.83644,0.59982,0.78614,0.74607,0.83095,0.5477,1.00979,1.77634,0.72614,1.15714,0.000359,0.000359,0.000359
56,1304.98,0.61208,0.92579,0.42708,0.88074,0.87532,0.71032,0.84659,0.60508,0.81188,0.73908,0.83477,0.56404,0.9686,1.7987,0.70308,1.14968,0.0003425,0.0003425,0.0003425
57,1317.69,0.61494,0.93311,0.41963,0.87405,0.87068,0.70757,0.84367,0.61379,0.86567,0.70583,0.83562,0.57109,0.96191,1.8198,0.68061,1.15016,0.000326,0.000326,0.000326
58,1370.67,0.62358,0.93836,0.4142,0.86874,0.83481,0.72186,0.84308,0.61183,0.82256,0.74135,0.84709,0.55888,0.96957,1.84127,0.67067,1.15831,0.0003095,0.0003095,0.0003095
59,1385.32,0.5875,0.88502,0.42181,0.87578,0.83449,0.74025,0.84604,0.61483,0.84563,0.75357,0.85268,0.56226,0.98084,1.83952,0.6673,1.16561,0.000293,0.000293,0.000293
60,1405.33,0.62198,1.01283,0.49515,0.87506,0.87708,0.7387,0.84348,0.61571,0.88325,0.73429,0.85221,0.58078,0.97974,1.81748,0.68232,1.16801,0.0002765,0.0002765,0.0002765
61,1456.28,0.64817,1.02221,0.44106,0.88657,0.87066,0.73066,0.84197,0.61539,0.87986,0.73704,0.84973,0.57534,0.97831,1.79431,0.69478,1.16111,0.00026,0.00026,0.00026
62,1471.14,0.59835,0.9331,0.40894,0.86447,0.87594,0.72682,0.84814,0.61844,0.88608,0.734,0.84633,0.56815,0.98155,1.80034,0.70251,1.15691,0.0002435,0.0002435,0.0002435
63,1501.18,0.55802,0.82968,0.40061,0.854,0.79688,0.77806,0.83805,0.61684,0.80931,0.78345,0.83891,0.56604,0.99338,1.79196,0.70783,1.16706,0.000227,0.000227,0.000227
64,1540.76,0.52504,0.83953,0.37362,0.85326,0.76198,0.77571,0.83847,0.62404,0.76568,0.77954,0.84271,0.57521,0.98267,1.79546,0.69071,1.17094,0.0002105,0.0002105,0.0002105
65,1587.01,0.56426,0.82762,0.3713,0.844,0.7167,0.79754,0.83533,0.61663,0.72263,0.79806,0.83292,0.56901,0.98045,1.78955,0.72557,1.16859,0.000194,0.000194,0.000194
66,1604.55,0.52731,0.77468,0.38744,0.84383,0.72183,0.78169,0.82893,0.61428,0.78699,0.73278,0.8268,0.56887,0.98344,1.75652,0.75754,1.16902,0.0001775,0.0001775,0.0001775
67,1620.13,0.52652,0.88717,0.3914,0.84774,0.75189,0.74341,0.82568,0.61307,0.76233,0.74968,0.82446,0.56538,0.97286,1.74189,0.77511,1.16458,0.000161,0.000161,0.000161
68,1658.84,0.5241,0.80329,0.38373,0.84478,0.74164,0.77956,0.83733,0.6308,0.78224,0.7832,0.83871,0.58208,0.96805,1.69573,0.73574,1.16676,0.0001445,0.0001445,0.0001445
69,1689.81,0.49754,0.79701,0.36815,0.84998,0.78413,0.75379,0.84585,0.63401,0.79026,0.78635,0.85076,0.58718,0.9618,1.70185,0.70351,1.16445,0.000128,0.000128,0.000128
70,1707.85,0.49156,0.74486,0.34476,0.83614,0.81225,0.75494,0.84895,0.63714,0.82356,0.77258,0.85501,0.59456,0.95891,1.71282,0.68585,1.16432,0.0001115,0.0001115,0.0001115
71,1732.69,0.51975,0.78095,0.36559,0.84535,0.83442,0.74685,0.85819,0.63945,0.84877,0.76394,0.86538,0.59963,0.96804,1.72832,0.67357,1.17224,9.5e-05,9.5e-05,9.5e-05
72,1764.8,0.5047,0.78023,0.35736,0.85952,0.82482,0.79793,0.86813,0.63599,0.82718,0.79719,0.86229,0.60159,0.97294,1.75025,0.66754,1.17956,7.85e-05,7.85e-05,7.85e-05
73,1783.93,0.50906,0.83198,0.35027,0.84402,0.82905,0.78698,0.86823,0.63538,0.83613,0.78575,0.85999,0.59806,0.96916,1.76522,0.6631,1.1764,6.2e-05,6.2e-05,6.2e-05
74,1806.65,0.50581,0.76053,0.34461,0.82929,0.80104,0.8088,0.86845,0.63596,0.82546,0.78041,0.86233,0.59672,0.96903,1.78107,0.65974,1.17797,4.55e-05,4.55e-05,4.55e-05
75,1845.26,0.48315,0.73867,0.34928,0.82786,0.80278,0.80452,0.86812,0.63625,0.81224,0.78713,0.86377,0.59624,0.96911,1.79173,0.65636,1.17931,2.9e-05,2.9e-05,2.9e-05
